GEN,CPU,pop1_Generation,pop1_E,pop1_Mu,pop1_Lambda,pop1_Tau,pop1_Sigma,pop1_EvalCount,pop1_DuplicateCount,pop1_CacheCount,pop1_OpUse_replacementMutation,pop1_MAB_replacementMutation,pop1_AvgAge,pop1_AvgIndSize,pop1_Avg_f0,pop1_Avg_f1,pop1_Best_f0,pop1_Best_f1,pop1_Worst_f0,pop1_Worst_f1
137,8706,137,6.52737,20,16,1,0.890641,2214,0,18,16,0.584001,4,297,1,0.635327,1,0.638945,1,0.633401
138,8766,138,6.48531,20,16,1,0.900577,2230,0,18,16,0.583882,3.75,297,1,0.635902,1,0.638945,1,0.634146
139,8824,139,6.48921,20,16,1,0.909519,2246,0,18,16,0.58478,3.95,297,1,0.636711,1,0.641851,1,0.634888
140,8884,140,6.51339,20,16,1,0.917567,2262,0,18,16,0.58514,3.35,297,1,0.637263,1,0.641851,1,0.635628
141,8947,141,6.52568,20,16,1,0.92481,2278,0,18,16,0.583948,3.75,297,1,0.637629,1,0.643863,1,0.635628
142,9007,142,6.53564,20,16,1,0.931329,2294,0,18,16,0.584139,3.6,297,1,0.638346,1,0.643863,1,0.636179
143,9070,143,6.54633,20,16,1,0.937196,2310,0,18,16,0.584376,4,297,1,0.638731,1,0.643863,1,0.636364
144,9130,144,6.54963,20,16,1,0.942477,2326,0,18,16,0.583235,4,297,1,0.638998,1,0.643863,1,0.636917
145,9191,145,6.55141,20,16,1,0.947229,2342,0,18,16,0.5818,4.75,297,1,0.639063,1,0.643863,1,0.636917
146,9255,146,6.55293,20,16,1,0.951506,2358,0,18,16,0.580841,4.8,297,1,0.639566,1,0.645161,1,0.637827
147,9320,147,6.56292,20,16,1,0.955356,2374,0,18,16,0.579815,5.1,297,1,0.639779,1,0.645161,1,0.637827
148,9384,148,6.57629,20,16,1,0.95882,2390,0,18,16,0.578236,5.3,297,1,0.639961,1,0.645161,1,0.638211
149,9447,149,6.60006,20,16,1,0.961938,2406,0,18,16,0.577334,5.3,297,1,0.639779,1,0.645161,1,0.637475
150,9511,150,6.60332,20,16,1,0.964744,2422,0,18,16,0.576485,5.3,297,1,0.639851,1,0.645161,1,0.637475
151,9572,151,6.60719,20,16,1,0.96727,2438,0,18,16,0.576195,5.05,297,1,0.639987,1,0.645161,1,0.638384
152,9633,152,6.61982,20,16,1,0.871543,2454,0,18,16,0.575062,4.55,297,1,0.639666,1,0.645161,1,0.636917
